projects,NONE,RUM,NearMiss,ENN,TomekLink,OSS,ROM,SMOTE,BSMOTE,SMOTE+Tomek,SMOTE+ENN,,max
Fabric8,0.31,0.371,0.363,0.376,0.322,0.318,0.364,0.36,0.369,0.373,0.38,,0.38
JGroups,0.296,0.298,0.301,0.285,0.296,0.298,0.306,0.301,0.302,0.297,0.314,,0.314
Camel,0.342,0.397,0.385,0.393,0.354,0.352,0.4,0.401,0.401,0.394,0.392,,0.401
Tomcat,0.394,0.394,0.396,0.339,0.401,0.402,0.394,0.393,0.395,0.394,0.403,,0.403
Brackets,0.544,0.558,0.563,0.545,0.552,0.554,0.563,0.561,0.557,0.56,0.554,,0.563
Neutron,0.62,0.64,0.627,0.664,0.627,0.642,0.638,0.643,0.645,0.643,0.644,,0.664
Spring,0.414,0.442,0.408,0.439,0.429,0.429,0.439,0.437,0.453,0.445,0.443,,0.453
Broadleaf,0.403,0.457,0.43,0.416,0.414,0.417,0.455,0.457,0.448,0.456,0.452,,0.457
Nova,0.59,0.622,0.598,0.622,0.592,0.579,0.613,0.613,0.631,0.623,0.623,,0.631
Npm,0.25,0.301,0.309,0.287,0.274,0.267,0.313,0.308,0.299,0.308,0.288,,0.313
AVG,0.416,0.448,0.438,0.436,0.426,0.426,0.448,0.447,0.45,0.449,0.449,,0.45
WTL,0,0,0,0,0,0,0,0,0,0,0,,
Improve.e,0,7.062,4.961,4.618,2.326,2.252,7.164,6.938,7.49,7.343,7.358,,
,,,,,,,,,,,,,
max,0.62,0.64,0.627,0.664,0.627,0.642,0.638,0.643,0.645,0.643,0.644,,
